,Course Name,Course Description
29, Decision Analytics,"This course teaches quantitative methods used in business decision making. Topics include: optimization models, optimization under uncertainty, and simulation. Business applications of these techniques are emphasized. Students in this course will acquire expertise in quantitative methods for decision making, through computer analysis of real-life problems."
30, Ethical Ldrshp& Leading Change,"Students will learn to: excel in the practice of distributed and shared leadership, critical to contemporary business; develop a collaboration style and learn about themselves as leaders – their strengths, areas for improvement; learn how to jointly develop a vision and superordinate goal; establish guidelines, protocols, and criteria for leading change and for the respectful and ethical collection, storage, and use of data derived from others; develop their capacity to lead across hierarchical levels, including ‘leading upwards’; understand how leadership is necessary for resolving ‘wicked problems’ (problems that require leadership, not management)."
31, Talent Analytics,Learning objectives: to gain experience in collecting and integrating performance and personnel outcome data; to develop and practice skills needed to analyze these types data; to cultivate knowledge and an understanding of the potential and limitations of talent analytics; to become able to apply the skills and knowledge from class to future organizational settings.
32, Org Network Analysis,Learning objectives: to gain experience in collecting and representing organizational network data; to develop and practice the skills needed to analyze network data; to cultivate knowledge and understanding of how social networks are related to consequential organizational outcomes; to become able to apply the skills and knowledge from class to future organizational settings.
33, Retail Analytics,"This course will cover the following topics: loyalty program data analysis, assortment planning and category management, market basket analysis, Store location and trade area analysis, and forecasting and buying decision."
34, Pricing Analytics,"Introduction and basics of price-response functions and pricing optimization. Using data to estimate demand models. Value-based pricing, consumer valuations, personalization. Tactics of price differentiation. Pricing with constrained supply. Team project consultation."
35, Advanced Marketing Analytics,The course will introduce students to advanced marketing analytic techniques available to managers and give them hands-on experience on using these with actual datasets. The major learning vehicle will be lectures with step-by-step exposition of analytical techniques with actual data. These will be then complemented with cases involving data analysis. Topics covered include customer and product analytics techniques.
36, Internet Marketing Analytics,What makes internet marketing different? Introduction to internet marketing - search engine optimization. Inbound marketing - search advertising and privacy concerns. Online tracking and privacy issues.
37, Analytics for Dig Bus Models,"Conceptual background coupled with hands -on experience with methods and tools needed to enable digital business models to strategically leverage analytics, with the goal of improving firm performance and decision making, and attaining a competitive advantage."
38, Analytics and Open Innovation,This course provides a comprehensive introduction to the use of data analytics in the context of open innovation. Students will draw from existing knowledge from prior courses in the Masters program as well as learn new tools and techniques that can be applied to answer realworld questions about open innovation.
39, Healthcare Analytics,"Students will get hands-on experience with real-world datasets to examine how data analytics can be used to predict and understand disease outbreaks, how analytics can be used to improve the operation of hospitals, and the manner in which analytics can be used as decision support for physicians to diagnose and treat patients. By the end of the course, students should be able to develop an appreciation on the changes that are taking place in the provision of healthcare services due to analytics and the role and opportunities for analytics to reduce cost and improve quality of healthcare in their communities."
40, Security Analytics,"This course provides a comprehensive introduction to data analytics in the context of information security. Students will understand how to leverage data analytics to help in visualizing, detecting, and analyzing information security data. Students will be exposed to real-world datasets and tools and techniques that can be applied to analyze those data."
41, Revenue Management,"This course will introduce students to revenue management (RM) practices in air transportation, hospitality (hotels, cruises, theme parks, casinos), car rental, media, broadcasting, natural-gas storage and transmission, electricity generation and transmission, and show business (concerts, theaters, sport events). Most applications are recent and made possible by the advances in technology, data and decision analytics. However, there are issues of legality and customer backlash for charging different prices for virtually the same product. The course will touch upon these issues as well. Topics covered include capacity allocation, network management, overbooking, markdown pricing, and customized pricing."
42, Ops and Suply Chain Analytics,"The course covers analytical models that explore the key issues associated with the design and management of supply chains. A considerable portion of the course is devoted to data-driven decision models that treat uncertainty explicitly. Topics include supply network design, inventory centralization, value of information, and contracts."
43, Adv Topics in Strategy Analyt,Current topics in strategy analytics. Course content will vary each term.
44, Adv Topics in Org Behav,Current emerging topics in organizational behaviour. Course content will vary each term.
45, Adv Topics in Information Syst,Current emerging topics in information systems. Course content will vary each term.
46, Adv Topics in Mgmt Science,Current emerging topics in operations management. Course content will vary each term.
47, Adv Topics in Mrktg Analytics,Current emerging topics in marketing analytics. Course content will vary each term.
48, Adv Topics in Acct Analytics,Current emerging topics in accounting analytics. Course content will vary each term.
49, Adv Topics in Fin Analytics 1,Advanced topics in finance analytics. Content will vary each term.
50, Adv Topics in Fin Analytics 2,Advanced topics in finance analytics. Content will vary each term.
51, Analytic Study Trip,"The course will be delivered through a combination of site (company) visits, guest lectures of top-level executives, as well as daily student reflections. It may also be combined with an analytics-related conference held in the location of the visit. Students will be required to study such practices in depth, complete a project related to organizational practice excellence in analytics and write a reflection paper."
52, Management Analytics Capstone,"Students will work with real companies and organizations on their capstone projects, giving them real world experience to step into the position with confidence. Real-life problems are often multi-disciplinary or multifunctional in nature. Hence, tackling them requires understanding of both management issues and analytical techniques. The topics are selected based on the specific requirements of the capstone projects and will complement and build on concepts previously covered throughout the Masters of Management in Analytics program."
53,Introduction to Enterprise Analytics,"Ensures the foundational understanding of contextualized analyticswithin the business enterprise continuum, covering how data flowsand is managed across the landscape of business processes."
54,Introduction to Applied Analytics,"Introduces quantitative modeling tools and techniques usedto solve problems faced in modern supply chains, includingforecasting demand, determining the capacity of a manufacturingline and the cycle times of parts being processed on the line, andmethods to manage inventory."
55,Data Mining I,Charts a roadmap for data-driven decision making and gettinga practical understanding of how IT tools and techniques can allowmanagers to extract predictive analytics and patterns fromnumeric data.
56,Data-Driven Quality Management,"Addresses the use of analytics tools and techniques to enhancethe ability of quality management approaches to improveprocesses. The course introduces modern quality managementapproaches including Six Sigma and Design for Six Sigma, andcovers DMAIC, the implementation cycle used to drive SixSigma projects."
57,Analytical Decision Making Tools I,"Focuses on mastering quantitative modeling tools andtechniques for business decision-making and deterministicoptimization techniques. This includes linear, nonlinear,and integer programming, network models, and anintroduction to metaheuristics."
58,Data Mining II,Explores how to support informed decision making and extractpredictive analytics and patterns from nonnumeric data byleveraging tools and techniques to analyze unstructured data.
59,Analytical Decision Making Tools II,"Addresses the skills and knowledge necessary to model situationswhere uncertainty is a major factor. Models include decision trees,queuing theory, Monte Carlo simulation, discrete event simulation,and stochastic optimization, along with application for solving awide variety of common business problems."
60,Business Analytics Strategy,"Evaluates how to strategically align, plan for and direct investmentsin, and governance of, processes for continuous renewal of analyticdeployments in business."
61,Marketing Analytics,"Focuses on developing analytical methods and applyingstatistical and mathematical tools to predict consumer behavior.Introduces formal models to analyze how and when customersmake product purchase decisions, configure new products,develop market segments, forecast market share, and determineoptimal pricing strategies."
62,Applied Project,"Addresses a problem in a domain where the use of your analyticsskills yields real-world experience through projects drawn from realbusiness settings that represent important aspects of organizations’deployment of analytics in their business model. You will be challenged to understand the context of the businesssituation and then identify relevant tools and analytics frameworksto gain both insights into past and present operations, as well aspredictions of future performance. In addition, your end-to-endproject will offer challenges that may include messy data sourcesand undefined business value, which will develop and advanceyour communication skills and leadership abilities. This team-basedproject is intended to push the envelope of your skills in applyingdata science to a variety of domains."
