,Course Name,Course Description,Keywords,Concepts,Technical Skills,Soft Skills,Coding Skills
10,Data Mining,"Clustering (k-means, partitioning), association rules, factor analysis, scale development, and survival analysis.","['factor analysis', 'survival analysis', 'association rules', 'k-means', 'scale development']","['Principal component analysis', 'Statistics', 'Psychometrics', 'Educational psychology', 'Factor analysis']",['Clustering'],[],[]
11,Intro to Java & Python Programming,"The main objective of this course is to introduce students to the various capabilities of the Java & Python programming languages. In addition to this theme, students will be exposed to different techniques of software engineering (from the perspective of design and code organization) and broader programming principles, as well as the link(s) between data organization and algorithm implementation.","['Python programming languages', 'broader programming principles', 'main objective', 'algorithm implementation', 'various capabilities', 'different techniques', 'software engineering', 'code organization', 'data organization', 'addition', 'students', 'course', 'Java', 'theme', 'perspective', 'design']","['Programming language', 'Computer program', 'C', 'Java', 'Computer', 'Software engineering', 'Computer programming', 'Object-oriented programming', 'Scripting language', 'Comparison of programming languages', 'Programming paradigm', 'Programmer', 'Algorithm', 'Python', 'Exception handling', 'Bytecode', 'Design', 'Regular expression', 'Ruby', 'Language', 'Functional programming', 'Source code', 'Jython', 'Computer science', 'Engineering', 'Class', 'Perl', 'Interpreter', 'Modula-3', 'Groovy', 'D', 'ECMAScript', 'Haskell', 'Cross-platform', 'Java Virtual Machine', 'Imperative programming', 'The Various']","['programming', 'programming']",[],"['Java', 'Python']"
12,Introduction to Data Management for Business Intelligence,"This course is a continuation of MSiA 490 (Introduction to Data Management) and will focus on exploring the management of a subset of the five VÛªs[1] åÊof the big data, in the context of improving the decision-making capabilities in business intelligence. Specifically, the course will accentuate the Volume and Velocity (and, in an implicit manner, the other three VÛªs).","['implicit manner', 'decision-making capabilities', 'business intelligence', 'big data', 'Data Management', 'MSiA', 'continuation', 'subset', 'course', 'V\x89Ûªs', 'Velocity', 'context', 'Introduction']","['Business intelligence', 'Data management', 'Management', 'Strategic management', 'Data']",['big data'],['Management'],[]
13,Analytics for Big Data,"This course covers a variety of topics and tools in big data. Most of the topics are about the Hadoop ecosystem, however select databases outside of Hadoop will also be considered.","['Hadoop ecosystem', 'big data', 'topics', 'course', 'variety', 'tools']","['Computer program', 'Music magazines']",['big data'],[],"['Hadoop', 'Hadoop']"
14,Deep Learning,"Many challenging problems in diverse areas such as computer vision, speech recognition, and machine language translation have recently made great progress by using an emerging technology called deep learning. At its core, deep learning is inspired by a simplified model of how the human brain works by building effective hierarchical representations of complex data. This course will explore applications and theory relevant to problem solving using deep learning. By the end of this course, students will gain intuition about how to apply various techniques judiciously and how to evaluate success. Students will also gain deeper insight into why certain techniques may work or fail for certain kinds of problems.ÛÜ","['deep learning', 'machine language translation', 'human brain works', 'challenging problems', 'hierarchical representations', 'diverse areas', 'great progress', 'speech recognition', 'certain kinds', 'deeper insight', 'certain techniques', 'complex data', 'various techniques', 'course', 'students', 'intuition', 'vision', 'technology', 'core', 'model', 'applications', 'theory', 'end']","['Problem solving', 'Brain', 'Language', 'Computer program', 'Human brain', 'Problem', 'Programming language', 'Computer', 'Machine translation', 'Cerebellum', 'Translation', 'Education']","['deep learning', 'deep learning', 'deep learning']",[],[]
15,Optimization and Heuristics,Optimization technology is an important part of analytics.åÊ Optimization allows you to mathematically ÛÏnarrow your choices the very best when there are virtually innumerable feasible options and comparing them is difficult.Û,"['innumerable feasible options', 'Optimization technology', 'analytics.åÊ Optimization', 'choices', 'difficult.\x89Û\x9d']","['Mathematics', 'Optimization', 'Applied mathematics']",[],[],[]
16,Industry Practicum,"Concurrent with the coursework and under the guidance of business and technical advisers, students work in small teams to integrate coursework into an industry supplied project.","['technical advisers', 'coursework', 'small teams', 'guidance', 'business', 'students', 'industry', 'project']","['Small business', 'Project management']",[],[],[]
17,Predictive Models for Credit Risk Management,"This course introduces credit risk management for financial services industry. It focuses on how predictive models are developed and used for credit risk management throughout different stages of the credit life cycle (acquisition, authorization, accounts management, and recoveries). The objective is to prepare the students for future employment in financial services industry with the business knowledge and hands-on model development experience using simulated industry data sets.","['financial services industry', 'credit risk management', 'hands-on model development', 'simulated industry data', 'credit life cycle', 'predictive models', 'different stages', 'future employment', 'business knowledge', 'recoveries', 'authorization', 'objective', 'acquisition', 'course', 'students', 'experience']","['Financial services', 'Management', 'Insurance', 'Operational risk', 'Credit rating', 'Knowledge', 'Risk management', 'Risk', 'Credit risk', 'Interest', 'Liquidity risk', 'Bank', 'Credit reference', 'Market risk', 'Corporate finance', 'Education', 'Actuarial science', 'Model', 'Future']",[],[],[]
18,Healthcare Analytics,"Global healthcare problems are complex and require a multi-leveled multi-pronged approach inclusive of a diverse set of stakeholders. While the data used for model training and decision making is being aggregated rapidly, it presents its unique challenges such as errors, missingness and sparsity. Additionally, the models trained for healthcare problems often have unique aspects. This course introduces additional concepts in data analytics, based on tools and techniques from operations research and epidemiology embedded in information technology to address health analytics and decision problems.","['multi-leveled multi-pronged approach', 'Global healthcare problems', 'decision making', 'health analytics', 'diverse set', 'data analytics', 'decision problems', 'model training', 'unique challenges', 'additional concepts', 'operations research', 'information technology', 'unique aspects', 'sparsity', 'stakeholders', 'epidemiology', 'errors', 'missingness', 'course', 'models']","['Data analysis', 'Health', 'Mathematics', 'Public health', 'Cognition', 'Decision making', 'Model', 'Training', 'Health care', 'Information technology']",[],[],[]
19,Social Networks Analysis,"This course explores the use of social network analysis to understand the growing connectivity and complexity in the world around us on different scales-ranging from small groups to the World Wide Web. It examines how we create social, economic, and technological networks, and how these networks enable and constrain our attitudes and behavior.","['social network analysis', 'World Wide Web', 'small groups', 'technological networks', 'complexity', 'connectivity', 'attitudes', 'course', 'behavior']","['World Wide Web', 'Social network', 'Networks', 'Network theory', 'Sociology', 'Tim Berners-Lee', 'Complex network', 'Network science', 'Systems theory', 'Self-organization', 'World', 'Web 2.0', 'Computer network', 'Social network analysis software']",[],[],[]
20,Capstone Design,"In this culminating project, students draw on the breadth and depth of the curriculum to address an industry-supplied problem in small teams.","['industry-supplied problem', 'small teams', 'breadth', 'depth', 'project', 'students', 'curriculum']","['Breadth-first search', 'Education']",[],[],[]
21,Numerical Linear Algebra,"Solution of linear systems, accuracy, stability, LU, Cholesky, QR, least squares problems, singular value decomposition, eigenvalue computation, iterative methods, Krylov subspace, Lanczos and Arnoldi processes, conjugate gradient, GMRES, direct methods for sparse matrices. Prerequisites: CME 108, MATH 114, MATH 104.","['singular value decomposition', 'Krylov subspace', 'conjugate gradient', 'eigenvalue computation', 'sparse matrices', 'Arnoldi processes', 'iterative methods', 'squares problems', 'linear systems', 'direct methods', 'Cholesky', 'GMRES', 'QR', 'Lanczos', 'Prerequisites', 'accuracy', 'stability', 'CME']","['Numerical linear algebra', 'Iterative method', 'Krylov subspace', 'Arnoldi iteration', 'Linear least squares', 'Singular value decomposition', 'Linear algebra']",[],[],[]
22,Discrete Mathematics and Algorithms,"Topics: Basic Algebraic Graph Theory, Matroids and Minimum Spanning Trees, Submodularity and Maximum Flow, NP-Hardness, Approximation Algorithms, Randomized Algorithms, The Probabilistic Method, and Spectral Sparsification using Effective Resistances. Topics will be illustrated with applications from Distributed Computing, Machine Learning, and large-scale Optimization. Prerequisites: CS 261 is highly recommended, although not required.Same as: MS&E 316","['Minimum Spanning Trees', 'Basic Algebraic Graph', 'Randomized Algorithms', 'Approximation Algorithms', 'Effective Resistances', 'Probabilistic Method', 'Spectral Sparsification', 'Maximum Flow', 'large-scale Optimization', 'Distributed Computing', 'Machine Learning', 'Matroids', 'Prerequisites', 'CS']","['Algorithm', 'Computer science', 'Graph theory', 'Combinatorics', 'Maxima and minima', 'Mathematics', 'Optimization', 'Approximation algorithm', 'Machine learning']","['Algorithms', 'Algorithms', 'Machine Learning']",[],[]
23,Optimization,"Applications, theories, and algorithms for finite-dimensional linear and nonlinear optimization problems with continuous variables. Elements of convex analysis, first- and second-order optimality conditions, sensitivity and duality. Algorithms for unconstrained optimization, and linearly and nonlinearly constrained problems. Modern applications in communication, game theory, auction, and economics. Prerequisites: MATH 113, 115, or equivalent.Same as: MS&E 311","['second-order optimality conditions', 'nonlinearly constrained problems', 'nonlinear optimization problems', 'finite-dimensional linear', 'continuous variables', 'convex analysis', 'unconstrained optimization', 'game theory', 'Modern applications', 'algorithms', 'Prerequisites', 'duality', 'sensitivity', 'theories', 'Elements', 'MATH', 'equivalent.Same', 'MS&E', 'communication']","['Operations research', 'Derivative', 'Linear programming', 'Optimization', 'Mathematics', 'Applied mathematics', 'Science', 'Economics', 'Scientific method', 'Game theory', 'Mathematical optimization', 'Greek loanwords', 'Calculus', 'Social sciences', 'Function', 'Fundamental physics concepts', 'Falsifiability', 'Nonlinear system', 'Physics', 'Chess', 'Theorem', 'Combinatorial game theory', 'Algorithm', 'Chaos theory', 'Vector space', 'Experiment', 'Mathematical analysis', 'Matrix', 'Nonlinear programming', 'Polynomial', 'Polytope', 'Dual problem', 'Mathematical logic', 'Artificial intelligence', 'Linear algebra', 'Branch and bound', 'Simplex algorithm', 'Real number', 'Auction', 'Mathematical model']","['algorithms', 'Algorithms']",[],[]
24,Stochastic Methods in Engineering,"The basic limit theorems of probability theory and their application to maximum likelihood estimation. Basic Monte Carlo methods and importance sampling. Markov chains and processes, random walks, basic ergodic theory and its application to parameter estimation. Discrete time stochastic control and Bayesian filtering. Diffusion approximations, Brownian motion and an introduction to stochastic differential equations. Examples and problems from various applied areas. Prerequisites: exposure to probability and background in analysis.Same as: MATH 228, MS&E 324","['basic limit theorems', 'stochastic differential equations', 'time stochastic control', 'Monte Carlo methods', 'likelihood estimation', 'various applied areas', 'probability theory', 'Diffusion approximations', 'Markov chains', 'Brownian motion', 'importance sampling', 'random walks', 'Bayesian filtering']","['Probability', 'Maximum likelihood', 'Stochastic process', 'Probability theory', 'Mathematics', 'Differential equation', 'Estimation theory', 'Markov chain', 'Monte Carlo method', 'Signal processing', 'Chaos theory', 'Random walk', 'Stochastic processes', 'Normal distribution', 'Likelihood function']","['probability', 'probability']",[],[]
25,Randomized Algorithms and Probabilistic Analysis,"Randomness pervades the natural processes around us, from the formation of networks, to genetic recombination, to quantum physics. Randomness is also a powerful tool that can be leveraged to create algorithms and data structures which, in many cases, are more efficient and simpler than their deterministic counterparts. This course covers the key tools of probabilistic analysis, and application of these tools to understand the behaviors of random processes and algorithms. Emphasis is on theoretical foundations, though we will apply this theory broadly, discussing applications in machine learning and data analysis, networking, and systems. Topics include tail bounds, the probabilistic method, Markov chains, and martingales, with applications to analyzing random graphs, metric embeddings, random walks, and a host of powerful and elegant randomized algorithms. Prerequisites: CS 161 and STAT 116, or equivalents and instructor consent.Same as: CS 265","['deterministic counterparts', 'genetic recombination', 'metric embeddings', 'probabilistic analysis', 'random processes', 'random walks', 'random graphs', 'powerful tool', 'probabilistic method', 'natural processes', 'tail bounds', 'Markov chains', 'theoretical foundations', 'data structures', 'key tools', 'machine learning', 'instructor consent.Same', 'data analysis', 'algorithms', 'Randomness', 'CS', 'martingales', 'applications', 'Prerequisites', 'STAT', 'equivalents', 'behaviors', 'formation', 'networks', 'physics', 'cases', 'course', 'application', 'Emphasis', 'theory', 'networking']","['Determinism', 'Scientific method', 'Probability', 'Randomness', 'Chaos theory', 'Stochastic process', 'Quantum mechanics', 'Random variable', 'Markov chain', 'Free will', 'Physics', 'Complexity', 'Algorithm', 'Probability theory', 'Kinetic theory', 'Theory', 'Computer program', 'Pseudorandom number generator', 'Probabilistic method', 'Random walk', 'Cryptography']","['algorithms', 'algorithms', 'machine learning', 'algorithms']",[],[]
26,Introduction to Statistical Inference,"Modern statistical concepts and procedures derived from a mathematical framework. Statistical inference, decision theory; point and interval estimation, tests of hypotheses; Neyman-Pearson theory. Bayesian analysis; maximum likelihood, large sample theory. Prerequisite: 116. http://statweb.stanford.edu/~sabatti/Stat200/index.html.","['Modern statistical concepts', 'large sample theory', 'interval estimation', 'maximum likelihood', 'Statistical inference', 'Bayesian analysis', 'mathematical framework', 'decision theory', 'Neyman-Pearson theory', 'Prerequisite', 'hypotheses', 'procedures', 'point', 'tests']","['Statistical inference', 'Scientific method', 'Estimation theory', 'Bayesian inference', 'Probability', 'Decision theory', 'Likelihood function', 'Bayesian probability', 'Statistics', 'Loss function', 'Logic', 'Maximum likelihood', 'Statistical hypothesis testing', 'Prior probability', ""Bayes' theorem"", 'Mathematics', 'Applied mathematics', 'Bayesian statistics', 'Influence diagram', 'Confidence interval', 'Logic and statistics', 'Control theory', 'Admissible decision rule', 'Statistical theory', 'Mathematical analysis', 'Theorem', 'Game theory', 'Bayes factor', 'Experiment', 'Falsifiability', 'Estimation', 'Science', 'Information theory', 'Calculus']",[],[],[]
27,Introduction to Regression Models and Analysis of Variance,Modeling and interpretation of observational and experimental data using linear and nonlinear regression methods. Model building and selection methods. Multivariable analysis. Fixed and random effects models. Experimental design. Pre- or corequisite: 200.,"['nonlinear regression methods', 'random effects models', 'Multivariable analysis', 'experimental data', 'Model building', 'selection methods', 'Experimental design', 'interpretation']","['Statistics', 'Model', 'Regression analysis', 'Linear regression', 'Model building']","['Modeling', 'regression']",[],[]
28,Introduction to Statistical Modeling,"Review of univariate regression. Multiple regression. Geometry, subspaces, orthogonality, projections, normal equations, rank deficiency, estimable functions and Gauss-Markov theorem. Computation via QR decomposition, Gramm-Schmidt orthogonalization and the SVD. Interpreting coefficients, collinearity, graphical displays. Fits and the Hat matrix, leverage & influence, diagnostics, weighted least squares and resistance. Model selection, Cp/Aic and crossvalidation, stepwise, lasso. Basis expansions, splines. Multivariate normal distribution theory. ANOVA: Sources of measurements, fixed and random effects, randomization. Emphasis on problem sets involving substantive computations with data sets. Prerequisites: consent of instructor, 116, 200, applied statistics course, CS 106A, MATH 114. (NB: prior to 2016-17 the 305ABC series was numbered as 305, 306A and 306B).","['Multivariate normal distribution', 'univariate regression', 'Multiple regression', 'QR decomposition', 'normal equations', 'rank deficiency', 'substantive computations', 'Gauss-Markov theorem', 'Basis expansions', 'Hat matrix', 'estimable functions', 'graphical displays', 'Gramm-Schmidt orthogonalization', 'CS 106A', 'Model selection', 'problem sets', 'data sets', 'random effects', 'statistics course', '305ABC series', 'subspaces', 'SVD', 'stepwise', 'randomization', 'coefficients', 'Prerequisites', 'splines', 'leverage', 'consent', 'projections', 'NB', 'Fits', 'squares', 'diagnostics', 'resistance', 'measurements', 'Review', 'influence', 'Geometry', 'orthogonality', 'collinearity', 'Cp/Aic', 'crossvalidation', 'Emphasis']","['Regression analysis', 'Linear least squares', 'Normal distribution', 'Mathematics', 'Statistics', 'Multivariate normal distribution', 'Analysis of variance', 'Carl Friedrich Gauss', 'Singular value decomposition', 'Variance', 'Orthogonality', 'Charles Sanders Peirce', 'Characteristic function', 'Sum of normally distributed random variables', 'Orthogonal matrix', 'Normally distributed and uncorrelated does not imply independent', 'Polynomial', 'Applied mathematics', 'Errors and residuals in statistics', 'Least squares', 'QR decomposition', 'Probability theory', 'Statistical terminology', 'Linear algebra', 'Multivariate statistics', 'Triangular matrix', 'Standard deviation', 'Stepwise regression', 'Matrix', 'Probability distribution', 'Determinant', 'Continuous distributions', 'Probability density function', 'Chi-square distribution', 'Design of experiments', 'Leverage', 'Total least squares', 'Scientific method', 'Confidence interval', 'Statistical theory', 'Design matrix', 'Covariance matrix']","['regression', 'regression', 'statistics']",[],[]
29,Modern Applied Statistics: Learning,"Overview of supervised learning. Linear regression and related methods. Model selection, least angle regression and the lasso, stepwise methods. Classification. Linear discriminant analysis, logistic regression, and support vector machines (SVMs). Basis expansions, splines and regularization. Kernel methods. Generalized additive models. Kernel smoothing. Gaussian mixtures and the EM algorithm. Model assessment and selection: crossvalidation and the bootstrap. Pathwise coordinate descent. Sparse graphical models. Prerequisites: STATS 305, 306A,B or consent of instructor.","['Linear discriminant analysis', 'Linear regression', 'support vector machines', 'Sparse graphical models', 'angle regression', 'logistic regression', 'Kernel smoothing', 'supervised learning', 'stepwise methods', 'Gaussian mixtures', 'Kernel methods', 'Basis expansions', 'additive models', 'EM algorithm', 'related methods', 'Model selection', 'Model assessment', 'regularization', 'SVMs', 'lasso', 'Prerequisites', 'splines', 'bootstrap', 'consent', 'STATS']","['Machine learning', 'Kernel trick', 'Regression analysis', 'Support vector machine', 'Logistic regression', 'Stepwise regression', 'Linear discriminant analysis', 'Linear classifier', 'Vector space', 'Linear algebra', 'Classification algorithms', 'Supervised learning', 'Psychometrics', 'Statistics']","['supervised', 'Linear', 'regression', 'regression', 'Linear', 'regression']",[],[]
30,Modern Applied Statistics: Data Mining,"Two-part sequence. New techniques for predictive and descriptive learning using ideas that bridge gaps among statistics, computer science, and artificial intelligence. Emphasis is on statistical aspects of their application and integration with more standard statistical methodology. Predictive learning refers to estimating models from data with the goal of predicting future outcomes, in particular, regression and classification models. Descriptive learning is used to discover general patterns and relationships in data without a predictive goal, viewed from a statistical perspective as computer automated exploratory analysis of large complex data sets.","['descriptive learning', 'standard statistical methodology', 'large complex data', 'Two-part sequence', 'Predictive learning', 'predictive goal', 'exploratory analysis', 'New techniques', 'future outcomes', 'artificial intelligence', 'general patterns', 'statistical aspects', 'classification models', 'statistical perspective']","['Statistics', 'Scientific method', 'Mathematics', 'Computer', 'Regression analysis', 'Artificial intelligence', 'Machine learning', 'Computer science', 'Prediction', 'Forecasting', 'Alan Turing', 'Cognitive science', 'Future', 'Logic', 'Software engineering', 'Futurology', 'Data set', 'Computational science', 'Real analysis', 'Prediction interval', 'Computer program', 'Science fiction', 'Applied mathematics', 'Mathematical analysis', 'Carnegie Mellon University', 'Psychology', 'Computation', 'Game theory', 'Data', 'Pattern recognition', 'Calculus', 'Cybernetics', 'Knowledge', 'Philosophy of mind', 'Intelligence', 'Exploratory data analysis', 'Estimation', 'Formal sciences', 'Intelligent agent', 'Analysis of variance']","['statistics', 'regression']",[],[]
31,Advanced Software Development for Scientists and Engineers,"Advanced topics in software development, debugging, and performance optimization are covered. The capabilities and usage of common libraries and frameworks such as BLAS, LAPACK, FFT, PETSc, and MKL/ACML are reviewed. Computer representation of integer and floating point numbers, and interoperability between C/C++ and Fortran is described. More advanced software engineering topics including: representing data in files, signals, unit and regression testing, and build automation. The use of debugging tools including static analysis, gdb, and Valgrind are introduced. An introduction to computer architecture covering processors, memory hierarchy, storage, and networking provides a foundation for understanding software performance. Profiles generated using gprof and perf are used to help guide the performance optimization process. Computational problems from various science and engineering disciplines will be used in assignments. Prerequisites: CME 200 / ME 300A and CME 211.","['floating point numbers', 'performance optimization', 'advanced software engineering', 'performance optimization process', 'software development', 'Advanced topics', 'regression testing', 'common libraries', 'memory hierarchy', 'static analysis', 'software performance', 'Computational problems', 'various science', 'engineering disciplines', 'CME', 'debugging', 'PETSc', '300A', 'Valgrind', 'gprof', 'LAPACK', 'BLAS', 'FFT', 'gdb', 'Prerequisites', 'integer', 'frameworks', 'interoperability', 'C/C++', 'signals', 'assignments', 'usage', 'Fortran', 'capabilities', 'processors', 'MKL/ACML', 'representation', 'data', 'files', 'unit', 'automation', 'tools', 'introduction']","['Software testing', 'Floating point', 'Software engineering', 'Engineering', 'Unit testing', 'Numerical analysis', 'Computer', 'Computing', 'Fortran', 'Algorithm', 'Central processing unit', 'Computer program', 'Fixed-point arithmetic', 'Software architecture', 'Computer data storage', 'Assembly language', 'Rational number', 'Computational science', 'Software optimization', 'Computer science', 'Z3', 'Computer programming', 'FLOPS', 'IBM 704', 'Memory hierarchy', 'Processor register', 'Regression testing', 'Microprocessor', 'Programmer', 'Valgrind', 'Mathematics', 'C', 'Von Neumann architecture', 'Computational problem', 'Introduction', 'Artificial intelligence']",['regression'],[],['C/C++']
32,"Introduction to parallel computing using MPI, openMP, and CUDA","This class will give hands on experience with programming multicore processors, graphics processing units (GPU), and parallel computers. Focus will be on the message passing interface (MPI, parallel clusters) and the compute unified device architecture (CUDA, GPU). Topics will include: network topologies, modeling communication times, collective communication operations, parallel efficiency, MPI, dense linear algebra using MPI. Symmetric multiprocessing (SMP), pthreads, openMP. CUDA, combining MPI and CUDA, dense linear algebra using CUDA, sort, reduce and scan using CUDA. Pre-requisites include: C programming language and numerical algorithms (solution of differential equations, linear algebra, Fourier transforms).Same as: ME 339","['dense linear algebra', 'programming multicore processors', 'graphics processing units', 'compute unified device', 'collective communication operations', 'modeling communication times', 'MPI', 'parallel computers', 'parallel clusters', 'parallel efficiency', 'network topologies', 'differential equations', 'numerical algorithms', 'GPU', 'Pre-requisites', 'pthreads', 'openMP', 'Fourier', 'hands', 'sort', 'class', 'experience', 'Focus', 'message', 'interface']","['Parallel computing', 'Programming language', 'Message Passing Interface', 'Mathematics', 'Algorithm', 'Supercomputer', 'OpenMP', 'Graphics processing unit', 'CUDA', 'C', 'Java', 'Fortran', 'C++', 'Computer', 'Computer program', 'POSIX Threads', 'Symmetric multiprocessing', 'Geometry', 'Real number', 'Vector space', 'Numerical analysis', 'Stream processing', 'GPGPU', 'Differential equation', 'Computer programming', ""Gustafson's law"", 'Speedup', 'Elementary algebra', 'Computer science', 'Subroutine']","['programming', 'programming', 'algorithms']",[],['C']
